Price,Adj Close,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,,
2024-07-01,1549.5955810546875,1560.1500244140625,1579.4000244140625,1555.675048828125,1562.5250244140625,7724306
2024-07-02,1554.586669921875,1565.175048828125,1573.5,1557.0,1569.5,7749246
2024-07-03,1541.9228515625,1552.425048828125,1575.0,1542.7750244140625,1566.324951171875,9049620
2024-07-04,1543.5120849609375,1554.0250244140625,1567.5,1550.800048828125,1557.0,6837176
2024-07-05,1577.8779296875,1588.625,1598.5,1548.0,1553.824951171875,12269710
2024-07-08,1590.0699462890625,1600.9000244140625,1608.800048828125,1582.5250244140625,1589.0,9500806
2024-07-09,1579.516845703125,1590.2750244140625,1600.5,1580.5,1597.5999755859375,6960002
2024-07-10,1573.5076904296875,1584.2249755859375,1597.5,1563.1500244140625,1595.0,7134578
2024-07-11,1569.9569091796875,1580.6500244140625,1604.25,1570.5,1587.5,11940946
2024-07-12,1585.923095703125,1596.7249755859375,1605.1500244140625,1574.5,1584.5,12924784
2024-07-15,1586.419677734375,1597.2249755859375,1605.8499755859375,1585.5,1604.449951171875,5329688
2024-07-16,1565.586669921875,1576.25,1600.0,1569.125,1593.5,9386838
2024-07-18,1575.941162109375,1586.675048828125,1593.9000244140625,1557.824951171875,1576.0,12298374
2024-07-19,1544.62939453125,1555.1500244140625,1589.9749755859375,1552.800048828125,1586.0,13140390
2024-07-22,1490.52294921875,1500.675048828125,1537.5,1499.2750244140625,1537.25,19674376
2024-07-23,1477.8343505859375,1487.9000244140625,1505.75,1463.0,1501.0,18052044
2024-07-24,1485.58154296875,1495.699951171875,1509.5,1476.4000244140625,1485.0,11913362
2024-07-25,1482.303955078125,1492.4000244140625,1500.4749755859375,1477.074951171875,1481.0,12519876
2024-07-26,1498.81640625,1509.0250244140625,1512.425048828125,1490.3499755859375,1492.4000244140625,9859940
2024-07-29,1509.8165283203125,1520.0999755859375,1527.5,1511.7750244140625,1511.949951171875,7538550
2024-07-30,1502.91357421875,1513.1500244140625,1525.0,1510.0,1517.0250244140625,8228208
2024-07-31,1495.2408447265625,1505.425048828125,1510.449951171875,1501.1500244140625,1504.0,10057346
2024-08-01,1505.049072265625,1515.300048828125,1518.0,1504.300048828125,1512.0,10764222
2024-08-02,1489.1820068359375,1499.324951171875,1509.324951171875,1493.2750244140625,1505.0,10268248
2024-08-05,1437.5338134765625,1447.324951171875,1483.9000244140625,1433.25,1480.0,17046704
2024-08-06,1446.1998291015625,1456.050048828125,1477.5,1451.324951171875,1455.1500244140625,10236186
2024-08-07,1454.9154052734375,1464.824951171875,1472.5,1461.5,1469.0,8174568
2024-08-08,1439.3216552734375,1449.125,1465.0,1445.925048828125,1457.5250244140625,12387192
2024-08-09,1464.326416015625,1474.300048828125,1476.5,1456.0,1460.0,6249776
2024-08-12,1450.743896484375,1460.625,1473.0,1457.75,1470.0,8184584
2024-08-13,1453.7235107421875,1463.625,1470.074951171875,1458.0,1460.75,6265064
2024-08-14,1451.9605712890625,1461.8499755859375,1472.0,1453.699951171875,1463.550048828125,6267466
2024-08-16,1468.199951171875,1478.199951171875,1480.4000244140625,1458.050048828125,1468.6500244140625,9416902
2024-08-19,1488.4000244140625,1488.4000244140625,1498.300048828125,1480.5,1482.5,13797742
2024-08-20,1495.949951171875,1495.949951171875,1503.925048828125,1490.0250244140625,1497.2249755859375,8411808
2024-08-21,1498.675048828125,1498.675048828125,1507.875,1490.0,1493.25,7769996
2024-08-22,1498.125,1498.125,1506.5,1490.6500244140625,1503.0,10445782
2024-08-23,1499.9749755859375,1499.9749755859375,1511.324951171875,1498.425048828125,1503.75,9249654
2024-08-26,1512.5999755859375,1512.5999755859375,1523.0,1503.0,1506.9749755859375,8816114
2024-08-27,1500.449951171875,1500.449951171875,1513.4749755859375,1499.449951171875,1510.5,6251156
2024-08-28,1498.300048828125,1498.300048828125,1507.4749755859375,1493.0,1505.0,9610286
2024-08-29,1520.925048828125,1520.925048828125,1537.0,1494.0,1503.0999755859375,38335358
2024-08-30,1509.625,1509.625,1539.7249755859375,1503.324951171875,1534.0,41620730
