Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS
Date,,,,,,
2024-01-12,994.934814453125,1003.5,1008.7000122070312,991.75,994.7999877929688,12255743
2024-01-15,1001.2305908203125,1009.8499755859375,1011.6500244140625,999.25,1003.5,12388044
2024-01-16,1000.4374389648438,1009.0499877929688,1015.7999877929688,1004.5999755859375,1006.0999755859375,11505126
2024-01-17,973.3704223632812,981.75,1007.7999877929688,976.75,987.9000244140625,41914771
2024-01-18,977.93115234375,986.3499755859375,994.2999877929688,970.1500244140625,973.9500122070312,17902484
2024-01-19,990.6715087890625,999.2000122070312,1010.9000244140625,987.5499877929688,991.2999877929688,23271148
2024-01-23,1020.2667846679688,1029.050048828125,1059.4000244140625,1021.2000122070312,1059.0999755859375,50797448
2024-01-24,990.6715087890625,999.2000122070312,1035.949951171875,996.6500244140625,1029.449951171875,34578943
2024-01-25,1001.3297729492188,1009.9500122070312,1015.0999755859375,988.1500244140625,998.4000244140625,28315035
2024-01-29,1007.7247314453125,1016.4000244140625,1032.0,1010.0,1020.0,14078922
2024-01-30,1008.220458984375,1016.9000244140625,1023.8499755859375,1008.0,1014.9500122070312,16085742
2024-01-31,1019.3744506835938,1028.1500244140625,1039.0,1003.25,1016.7999877929688,25627447
2024-02-01,1016.4000244140625,1025.1500244140625,1033.949951171875,1017.4000244140625,1033.949951171875,13058880
2024-02-02,1015.2598266601562,1024.0,1050.0,1021.6500244140625,1037.0999755859375,14774650
2024-02-05,1014.7640991210938,1023.5,1026.449951171875,1012.0999755859375,1022.5,12948430
2024-02-06,1017.6393432617188,1026.4000244140625,1034.9000244140625,1016.7000122070312,1023.5499877929688,12886927
2024-02-07,1013.4256591796875,1022.1500244140625,1031.550048828125,1013.0,1028.0,16410895
2024-02-08,980.8560180664062,989.2999877929688,1028.25,985.25,1024.0999755859375,20565502
2024-02-09,1002.0733642578125,1010.7000122070312,1013.75,985.5,988.8499755859375,12799837
2024-02-12,987.5979614257812,996.0999755859375,1012.2000122070312,985.25,1010.4000244140625,8050066
2024-02-13,1011.0956420898438,1019.7999877929688,1027.050048828125,1000.2999877929688,1006.0,18706292
2024-02-14,1013.970947265625,1022.7000122070312,1035.699951171875,1007.5499877929688,1009.5499877929688,17878720
2024-02-15,1007.9725952148438,1016.6500244140625,1026.6500244140625,1006.5999755859375,1022.8499755859375,10069878
2024-02-16,1014.5162353515625,1023.25,1026.199951171875,1016.9000244140625,1023.2000122070312,7159395
2024-02-19,1034.84130859375,1043.75,1046.0,1023.3499755859375,1023.3499755859375,9388255
2024-02-20,1039.798583984375,1048.75,1052.6500244140625,1033.25,1041.050048828125,11293528
2024-02-21,1042.97119140625,1051.949951171875,1064.0,1048.0,1056.800048828125,15946325
2024-02-22,1053.6295166015625,1062.699951171875,1066.0,1040.300048828125,1056.0,13432573
2024-02-23,1052.241455078125,1061.300048828125,1070.0,1057.6500244140625,1070.0,13142759
2024-02-26,1045.2020263671875,1054.199951171875,1062.300048828125,1050.5,1053.0999755859375,7875941
2024-02-27,1051.1507568359375,1060.199951171875,1066.199951171875,1046.5,1050.75,10580973
2024-02-28,1037.270263671875,1046.199951171875,1064.8499755859375,1042.1500244140625,1063.0,7730332
2024-02-29,1043.2191162109375,1052.199951171875,1060.699951171875,1038.5,1043.050048828125,20944844
2024-03-01,1077.6229248046875,1086.9000244140625,1089.949951171875,1054.0,1055.0,14909562
2024-03-04,1083.0263671875,1092.3499755859375,1095.0,1080.0999755859375,1081.0,11424581
2024-03-05,1078.76318359375,1088.050048828125,1099.5,1076.5,1086.199951171875,9222544
